category,description
Rejected,"A. 5 years will exceed 19-Mar-2024 Kindly take the necessary action to cancel the work permit and replace the post with local HR. \
B. If you don't follow the above advice, please submit the following information and documents: \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly.   \
"
Rejected,5 years will exceed on 04-Mar-2023 as well as the expatriate did not follow the Foreign Exchange Regulation Act and its related guidelines. Kindly replace the post by local employee
Rejected,6 years will exceed on 04-Mar-2024. Last time the work permit was approved on condition that further extension will not be allowed.Hence the application has been rejected
Rejected,Copy of chalan form/pay order which has been deposited to the income tax authority as source tax for the assessment year 2021-2022 in favor of this employee should be submitted
Rejected,Last time the work permit was approved with the Remak-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. Please replace the expatriate
Rejected,Last time the work permit was approved with the Remak-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. Please replace the expatriate
Rejected,They increased the basic salary and restructured the salary.  5  years excced on uploaded 31-Jul-2023 12 & 13 and requested the work permit. Please see the docs 12 & 13 and give your kind decision. 
Rejected,5 years will exceed on 06-Aug-2022. Uploaded a request letter for the extension of the work permit. Kindly see doc 13 and give your kind decision.
Rejected,"6 years exceed on 04-Mar-2024. After the previous shortfall, they uploaded docs 12 & 13 and resubmitted the application"
Rejected,Five years will exceed 04-Mar-2023. Uploaded a request letter for the extension of the work permit (doc 13)
Rejected,5 years will exceed on 06-Aug-2022. Uploaded a request letter for the extension of the work permit. Kindly see doc 13 and give your kind decision.
Rejected,"A. The designation does not match with the previous work permit.Please revise properly\
B. 5 years will exceed 23-Sep-2023. Kindly take the necessary action to cancel the work permit and replace the post with local HR. \
C. If you don't follow the above advice, please submit the following information and documents: \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly.   \
"
